Store_ID,Store_Type,Store_Size,Sound_Consultant_Count,Years_Operation,Monthly_Revenue,Daily_Visitor_Count,Customer_Experience_Score,Avg_Transaction_Value,Return_Rate
QT001,Urban Flagship,6397,8,12,2497934.4000000004,204,8.21,1614.48,3.52
QT002,Urban Flagship,5889,7,9,1697537.4000000001,207,7.96,1597.29,4.59
QT003,Urban Flagship,5813,7,12,1532802.7,192,8.14,1788.28,4.92
QT004,Urban Flagship,5813,7,9,1715706.2,205,8.23,1655.07,3.52
QT005,Urban Flagship,7263,9,10,1832495.6,236,7.65,1741.86,4.19
QT006,Urban Flagship,6614,8,9,1827293,221,8.24,1627.18,4.02
QT007,Urban Flagship,5535,7,9,1570082.8,204,7.83,1519.81,5.76
QT008,Urban Flagship,5580,7,5,1611538.5,203,7.8,1746.77,4.24
QT009,Urban Flagship,6194,8,13,1657973.2,182,7.46,1544.86,5.03
QT010,Urban Flagship,4469,6,5,1401218,174,7.89,1648.95,4.88
QT011,Urban Standard,2780,4,6,885009,121,8.08,1326.7,18.5
QT012,Urban Standard,4302,4,6,1088259,153,7.85,1419.53,4.61
QT013,Urban Standard,3648,4,9,1079514,125,7.88,1344.41,4.42
QT014,Urban Standard,2930,4,8.4567,942034,99,7.83,1387.23,4.69
QT015,Urban Standard,4034,4,3,1013283,139,8.12,1243.94,3.36
QT016,Urban Standard,3288,,5,882394,104,8.2,1600.03,
QT017,Urban Standard,4209,4,3,944970,135,8.01,1279.99,4.23
QT018,Urban Standard,4416,4,9,1076117,142,7.54,1520.14,4.69
QT019,Urban Standard,2987,4,4,905488,117,8.5,1414.98,4.07
QT020,Urban Standard,4560,5,7,1121404,143,8,1414.09,4.22
QT021,Urban Standard,3625,4,6,1007749,118,8.08,1435.44,3.35
QT022,Urban Standard,3611,4,9,1004146,126,7.68,1211.97,4.62
QT023,Urban Standard,4565,5,5,1008152,161,7.97,1496.64,3.59
QT024,Urban Standard,4187,4,8,1083331,139,8.02,1348.91,3.63
QT025,Urban Standard,3403,4,6,945037,111,7.97,1521.04,3.82
QT026,Urban Standard,3795,4,4,931733,131,,1384.88,
QT027,Urban Standard,3311,4,6,920362,119,8.27,1362.55,2.96
QT028,Urban Standard,3823,4,8,932363,114,7.69,1270.88,4.87
QT029,Urban Standard,2911,4,6,883896,97,8.23,1323.45,3.19
QT030,Urban Standard,3478,4,8,1005339,131,8.07,1442.23,4.72
QT031,Suburban,2228,3,2,621135.2000000001,,4.5,1069.21,
QT032,Suburban,2857,3,3,654096,65,7.65,1000.94,
QT000,,,,,,,,,
QT033,Suburban,2669,3,1,655192.8,91,8.28,1114.25,3.71
QT034,Suburban,2508,3,4,683078.4,94,8.08,1284,3.06
QT035,Suburban,2579,3,4,616344.8,74,7.64,1378.13,3.84
QT036,Suburban,2993,,2,654676.8,99,7.9,1132.26,
QT037,Suburban,2529,3,1,659400.8,102,8.07,1045.12,4.15
QT038,Suburban,2626,3,1,612102.4,87,8.09,1165.69,3.87
QT039,Suburban,2247,3,1,709564.8,74,8.02,1218.39,2.87
QT040,Suburban,2346,3,3,641546.4,74,8.1,1257.79,
QT041,Suburban,1937,,4,582680.8,68,,1413.46,4.41
QT042,Suburban,2090,3,4,598505.6,76,8.39,1222.68,4.45
QT043,Suburban,2779,3,3,662995.2000000001,89,7.78,1365.55,3.91
QT044,Suburban,2703,3,1,645447.2000000001,91,7.86,1153.71,4.33
QT045,Suburban,2563,3,4,585376,79,7.97,1208.66,
QT046,Suburban,2679,3,3,724869.6000000001,92,7.63,1140.71,3.61
QT047,Suburban,2450,3,1,647380.8,,7.74,1132,4.35
QT048,Suburban,2849,3,4,690824.8,81,7.64,1173.66,4.9
QT049,Suburban,2941,3,1,719995.2000000001,,7.72,1171.93,4.66
QT050,Suburban,2163,3,3,590856,74,8.34,1139.6,3.1
QT051,Suburban,2507,3,2.392857143,662995.2000000002,74.04,7.96,1099.79,4.071304348
QT052,Suburban,2478,3,,645447.2000000002,71.98,7.99,1080.69,
QT053,Urban Standard,1866,3,2.345238095,585376,69.92,8.02,1061.59,4.047246377
,,,,,,,,,
